Event: solarUpdate at time 0 with data 0.0
Event: carArrives at time 59 with data Car ID: 0, chargingVolume: 48, connectionTime: 47005 parkingPlace: 3, amountCharged: 0, carParksVisited: ['3'], arrivalTime: 59
Event: carBeginsCharging at time 59 with data Car ID: 0, chargingVolume: 48, connectionTime: 47005 parkingPlace: 3, amountCharged: 0, carParksVisited: ['3'], arrivalTime: 59
Event: carArrives at time 290 with data Car ID: 1, chargingVolume: 74, connectionTime: 85842 parkingPlace: 1, amountCharged: 0, carParksVisited: ['1'], arrivalTime: 290
Event: carBeginsCharging at time 290 with data Car ID: 1, chargingVolume: 74, connectionTime: 85842 parkingPlace: 1, amountCharged: 0, carParksVisited: ['1'], arrivalTime: 290
Event: carArrives at time 540 with data Car ID: 2, chargingVolume: 24, connectionTime: 43764 parkingPlace: 2, amountCharged: 0, carParksVisited: ['2'], arrivalTime: 540
Event: carBeginsCharging at time 540 with data Car ID: 2, chargingVolume: 24, connectionTime: 43764 parkingPlace: 2, amountCharged: 0, carParksVisited: ['2'], arrivalTime: 540
Event: carArrives at time 1154 with data Car ID: 3, chargingVolume: 38, connectionTime: 60295 parkingPlace: 5, amountCharged: 0, carParksVisited: ['5'], arrivalTime: 1154
Event: carBeginsCharging at time 1154 with data Car ID: 3, chargingVolume: 38, connectionTime: 60295 parkingPlace: 5, amountCharged: 0, carParksVisited: ['5'], arrivalTime: 1154
Event: carArrives at time 1359 with data Car ID: 4, chargingVolume: 12, connectionTime: 10286 parkingPlace: 5, amountCharged: 0, carParksVisited: ['5'], arrivalTime: 1359
Event: carBeginsCharging at time 1359 with data Car ID: 4, chargingVolume: 12, connectionTime: 10286 parkingPlace: 5, amountCharged: 0, carParksVisited: ['5'], arrivalTime: 1359
Event: carArrives at time 1409 with data Car ID: 5, chargingVolume: 64, connectionTime: 56076 parkingPlace: 2, amountCharged: 0, carParksVisited: ['2'], arrivalTime: 1409
Event: carBeginsCharging at time 1409 with data Car ID: 5, chargingVolume: 64, connectionTime: 56076 parkingPlace: 2, amountCharged: 0, carParksVisited: ['2'], arrivalTime: 1409
Event: carArrives at time 1613 with data Car ID: 6, chargingVolume: 11, connectionTime: 50677 parkingPlace: 6, amountCharged: 0, carParksVisited: ['6'], arrivalTime: 1613
Event: carBeginsCharging at time 1613 with data Car ID: 6, chargingVolume: 11, connectionTime: 50677 parkingPlace: 6, amountCharged: 0, carParksVisited: ['6'], arrivalTime: 1613
Event: carArrives at time 1980 with data Car ID: 7, chargingVolume: 6, connectionTime: 71854 parkingPlace: 3, amountCharged: 0, carParksVisited: ['3'], arrivalTime: 1980
Event: carBeginsCharging at time 1980 with data Car ID: 7, chargingVolume: 6, connectionTime: 71854 parkingPlace: 3, amountCharged: 0, carParksVisited: ['3'], arrivalTime: 1980
Event: carArrives at time 2095 with data Car ID: 8, chargingVolume: 23, connectionTime: 51540 parkingPlace: 4, amountCharged: 0, carParksVisited: ['4'], arrivalTime: 2095
Event: carBeginsCharging at time 2095 with data Car ID: 8, chargingVolume: 23, connectionTime: 51540 parkingPlace: 4, amountCharged: 0, carParksVisited: ['4'], arrivalTime: 2095
Event: carArrives at time 2606 with data Car ID: 9, chargingVolume: 6, connectionTime: 5143 parkingPlace: 4, amountCharged: 0, carParksVisited: ['4'], arrivalTime: 2606
Event: carBeginsCharging at time 2606 with data Car ID: 9, chargingVolume: 6, connectionTime: 5143 parkingPlace: 4, amountCharged: 0, carParksVisited: ['4'], arrivalTime: 2606
Event: carArrives at time 3420 with data Car ID: 10, chargingVolume: 22, connectionTime: 74882 parkingPlace: 4, amountCharged: 0, carParksVisited: ['4'], arrivalTime: 3420
Event: carBeginsCharging at time 3420 with data Car ID: 10, chargingVolume: 22, connectionTime: 74882 parkingPlace: 4, amountCharged: 0, carParksVisited: ['4'], arrivalTime: 3420
Event: solarUpdate at time 3600 with data 0.0
Event: carArrives at time 4738 with data Car ID: 11, chargingVolume: 29, connectionTime: 49432 parkingPlace: 4, amountCharged: 0, carParksVisited: ['4'], arrivalTime: 4738
Event: carBeginsCharging at time 4738 with data Car ID: 11, chargingVolume: 29, connectionTime: 49432 parkingPlace: 4, amountCharged: 0, carParksVisited: ['4'], arrivalTime: 4738
Event: carExpectedStopCharging at time 5580.0 with data Car ID: 7, chargingVolume: 6, connectionTime: 71854 parkingPlace: 3, amountCharged: 0, carParksVisited: ['3'], arrivalTime: 1980
Event: carStopsCharging at time 5580.0 with data Car ID: 7, chargingVolume: 6, connectionTime: 71854 parkingPlace: 3, amountCharged: 6.0, carParksVisited: ['3'], arrivalTime: 1980
Event: carArrives at time 5760 with data Car ID: 12, chargingVolume: 33, connectionTime: 34927 parkingPlace: 7, amountCharged: 0, carParksVisited: ['7'], arrivalTime: 5760
Event: carBeginsCharging at time 5760 with data Car ID: 12, chargingVolume: 33, connectionTime: 34927 parkingPlace: 7, amountCharged: 0, carParksVisited: ['7'], arrivalTime: 5760
Event: carArrives at time 5788 with data Car ID: 13, chargingVolume: 15, connectionTime: 41233 parkingPlace: 7, amountCharged: 0, carParksVisited: ['7'], arrivalTime: 5788
Event: carBeginsCharging at time 5788 with data Car ID: 13, chargingVolume: 15, connectionTime: 41233 parkingPlace: 7, amountCharged: 0, carParksVisited: ['7'], arrivalTime: 5788
Event: carArrives at time 5973 with data Car ID: 14, chargingVolume: 14, connectionTime: 50123 parkingPlace: 4, amountCharged: 0, carParksVisited: ['4'], arrivalTime: 5973
Event: carBeginsCharging at time 5973 with data Car ID: 14, chargingVolume: 14, connectionTime: 50123 parkingPlace: 4, amountCharged: 0, carParksVisited: ['4'], arrivalTime: 5973
Event: carExpectedStopCharging at time 6206.0 with data Car ID: 9, chargingVolume: 6, connectionTime: 5143 parkingPlace: 4, amountCharged: 0, carParksVisited: ['4'], arrivalTime: 2606
Event: carStopsCharging at time 6206.0 with data Car ID: 9, chargingVolume: 6, connectionTime: 5143 parkingPlace: 4, amountCharged: 6.0, carParksVisited: ['4'], arrivalTime: 2606
Event: carArrives at time 6700 with data Car ID: 15, chargingVolume: 38, connectionTime: 32781 parkingPlace: 3, amountCharged: 0, carParksVisited: ['3'], arrivalTime: 6700
Event: carBeginsCharging at time 6700 with data Car ID: 15, chargingVolume: 38, connectionTime: 32781 parkingPlace: 3, amountCharged: 0, carParksVisited: ['3'], arrivalTime: 6700
Event: carArrives at time 7095 with data Car ID: 16, chargingVolume: 0, connectionTime: 46354 parkingPlace: 4, amountCharged: 0, carParksVisited: ['4'], arrivalTime: 7095
Event: carBeginsCharging at time 7095 with data Car ID: 16, chargingVolume: 0, connectionTime: 46354 parkingPlace: 4, amountCharged: 0, carParksVisited: ['4'], arrivalTime: 7095
Event: carExpectedStopCharging at time 7095.0 with data Car ID: 16, chargingVolume: 0, connectionTime: 46354 parkingPlace: 4, amountCharged: 0, carParksVisited: ['4'], arrivalTime: 7095
Event: carStopsCharging at time 7095.0 with data Car ID: 16, chargingVolume: 0, connectionTime: 46354 parkingPlace: 4, amountCharged: 0.0, carParksVisited: ['4'], arrivalTime: 7095
Event: solarUpdate at time 7200 with data 0.0
Event: carArrives at time 7369 with data Car ID: 17, chargingVolume: 11, connectionTime: 58105 parkingPlace: 6, amountCharged: 0, carParksVisited: ['6'], arrivalTime: 7369
Event: carBeginsCharging at time 7369 with data Car ID: 17, chargingVolume: 11, connectionTime: 58105 parkingPlace: 6, amountCharged: 0, carParksVisited: ['6'], arrivalTime: 7369
Car 9, succesfully charged
